
rec on 3.1
cricket in 부터(1042) 34.7

rearing/grooming 구간(분석 제외할 곳)

visual pursuit(rotation slow or fast)
1097	1194	BRB
1225	1448	LB
1461	1489	RB
1490	1530	nV
1536	1587	nV
1709	1741	nV
1814	1911	LB
1957	2079	B
2082	2101	nV
2114	2322	LB
2331	2370	nV
2390	2443	nV
2514	2667	RBLB
2668	2963	consume
3028	3067	B
3068	3102	consume
3342	3364	nV
3400	3428	nV
3793	3824	nV
3871	3917	B
3978	4253	RB
4254	4314	consume	

attack
1439	*
1870	*
1897
1997	*
2022	*
2059	*
2074	*
2182	*
2218	*
2231	*
2242	*
2277	*
2292	*
2302	*
2311	*
2608	*
2636	*
2662	*
3062	*
3909	*
3992
4003	*
4028	*
4052	*
4067	*
4110	*
4130	*
4182	*
4206	*
4232	*
4250	*

